Date,Surprise,Orthogonalized Surprise
2012-01-25,-1.15,-3.17
2012-03-13,2.16,-0.87
2012-04-25,1.31,-0.55
2012-06-20,2.88,2.68
2012-08-01,2.29,0.94
2012-09-13,2.41,-0.93
2012-10-24,0.91,-0.66
2012-12-12,0.42,-0.92
2013-01-30,0.59,-1.31
2013-03-20,1.18,-0.57
2013-05-01,0.77,-0.71
2013-06-19,1.10,0.10
2013-07-31,0.59,0.99
2013-09-18,-0.38,-0.81
2013-10-30,0.89,-1.39
2013-12-18,1.20,-1.25
2014-01-29,0.85,0.36
2014-03-19,2.56,0.65
2014-04-30,1.17,-0.63
2014-06-18,1.68,1.22
2014-07-30,0.26,0.28
2014-09-17,2.49,3.26
2014-10-29,3.32,5.18
2014-12-17,-5.29,-3.25
2015-01-28,-0.13,2.03
2015-03-18,-6.47,-5.01
2015-04-29,0.58,1.12
2015-06-17,-3.80,-4.53
2015-07-29,-0.33,2.23
2015-09-17,-5.82,-3.84
2015-10-28,5.34,5.96
2015-12-16,2.88,4.08
2016-01-27,-2.29,0.02
2016-03-16,-8.24,-8.04
2016-04-27,1.82,0.26
2016-06-15,-3.95,-4.99
2016-07-27,1.56,1.15
2016-09-21,-2.31,-2.08
2016-11-02,1.16,1.35
2016-12-14,4.66,4.00
2017-02-01,-1.39,-0.98
2017-03-15,-5.09,-4.04
2017-05-03,2.09,3.38
2017-06-14,2.86,3.09
2017-07-26,-0.33,-1.15
2017-09-20,5.82,6.30
2017-11-01,1.37,1.24
2017-12-13,0.09,0.14
2018-01-31,1.64,0.04
2018-03-21,0.37,1.00
2018-05-02,0.19,1.38
2018-06-13,2.90,3.00
2018-08-01,0.46,0.79
2018-09-26,0.46,1.04
2018-11-08,1.69,2.61
2018-12-19,2.98,6.10
2019-01-30,-1.95,0.42
2019-03-20,-2.69,-1.68
2019-05-01,-3.73,-2.99
2019-06-19,-7.92,-4.90
2019-07-31,5.29,5.81
2019-09-18,4.46,5.09
2019-10-11,0.43,1.96
2019-10-30,2.42,3.32
2019-12-11,0.52,1.65
2020-01-29,1.37,2.54
2020-03-03,-14.33,-11.45
2020-03-15,-21.30,-14.57
2020-03-19,-3.23,5.76
2020-03-23,-2.40,6.36
2020-03-31,-0.62,6.13
2020-04-29,0.30,6.74
2020-06-10,0.52,-2.70
2020-07-29,0.17,0.91
2020-08-27,0.80,1.54
2020-09-16,0.85,1.67
2020-11-05,0.58,3.08
2020-12-16,0.97,1.90
2021-01-27,0.65,1.79
2021-03-17,0.06,1.00
2021-04-28,0.59,1.88
2021-06-16,2.85,-3.32
2021-07-28,1.02,-2.92
2021-09-22,0.83,-1.52
2021-11-03,1.48,-1.39
2021-12-15,5.76,4.21
2022-01-26,0.25,-1.90
2022-03-16,13.82,10.04
2022-05-04,-2.30,-5.04
2022-06-15,9.38,8.78
2022-07-27,1.02,0.84
2022-09-21,13.47,11.91
2022-11-02,-7.87,-7.97
2022-12-14,9.08,8.33
2023-02-01,2.60,0.81
2023-03-22,-5.98,-4.78
2023-05-03,3.15,5.30
2023-06-14,9.80,9.13
2023-07-26,1.42,-0.02
2023-09-20,8.70,9.02
2023-11-01,-0.61,2.35
2023-12-13,-8.17,-5.32
