home_listing,adr_ticker,event_datetime_et,eps_estimate,eps_actual,surprise_pct
SHEL.L,SHEL,2026-10-29 08:00:00,2.8,nan,nan
SHEL.L,SHEL,2026-07-30 02:00:00,3.18,3.52,10.63
SHEL.L,SHEL,2026-05-07 02:00:00,2.21,2.44,10.18
SHEL.L,SHEL,2026-02-05 02:00:00,1.29,1.14,-11.83
SHEL.L,SHEL,2025-10-30 03:00:00,1.74,1.86,7.08
SHEL.L,SHEL,2025-07-31 02:00:00,1.27,1.44,13.72
SHEL.L,SHEL,2025-05-02 02:00:00,1.61,1.84,14.38
SHEL.L,SHEL,2025-01-30 02:00:00,1.49,1.2,-19.65
SHEL.L,SHEL,2024-10-31 03:00:00,1.7,1.92,12.83
SHEL.L,SHEL,2024-08-01 02:00:00,1.78,1.98,11.15
SHEL.L,SHEL,2024-05-02 02:00:00,1.92,2.4,25.19
SHEL.L,SHEL,2024-02-01 02:00:00,1.86,2.22,19.11
SHEL.L,SHEL,2023-11-02 03:00:00,1.92,1.86,-3.12
SHEL.L,SHEL,2023-07-27 02:00:00,1.61,1.5,-6.91
SHEL.L,SHEL,2023-05-04 02:00:00,2.12,2.78,31.44
SHEL.L,SHEL,2023-02-02 02:00:00,2.31,2.6,12.34
SHEL.L,SHEL,2022-10-27 02:00:00,2.4,2.6,8.45
SHEL.L,SHEL,2022-07-28 02:00:00,3.0,3.08,2.84
SHEL.L,SHEL,2022-05-05 02:00:00,2.19,2.4,9.59
SHEL.L,SHEL,2022-02-03 02:00:00,1.34,1.66,23.45
SHEL.L,SHEL,2021-10-28 02:00:00,1.42,1.06,-25.33
SHEL.L,SHEL,2021-07-29 02:00:00,1.25,1.42,13.21
SHEL.L,SHEL,2021-04-29 02:00:00,0.76,0.84,10.53
SHEL.L,SHEL,2021-02-04 02:00:00,0.12,0.1,-15.86
SHEL.L,SHEL,2020-10-29 03:00:00,nan,0.24,5792.31
AZN.L,AZN,2026-10-30 16:00:00,1.3,nan,nan
AZN.L,AZN,2026-07-27 02:00:00,1.25,1.32,4.85
AZN.L,AZN,2026-04-29 02:00:00,1.27,1.29,1.43
AZN.L,AZN,2025-11-06 02:00:00,1.13,1.19,4.88
AZN.L,AZN,2025-07-29 02:00:00,0.88,0.79,-10.71
AZN.L,AZN,2025-04-29 02:00:00,1.12,1.25,11.59
AZN.L,AZN,2025-02-06 02:00:00,1.04,1.05,0.84
AZN.L,AZN,2024-11-12 02:00:00,1.03,1.04,1.13
AZN.L,AZN,2024-07-25 02:00:00,0.99,0.99,-0.38
AZN.L,AZN,2024-04-25 02:00:00,0.95,1.03,8.42
AZN.L,AZN,2024-02-08 02:00:00,0.76,0.73,-4.92
AZN.L,AZN,2023-11-09 02:00:00,0.82,0.87,5.32
AZN.L,AZN,2023-07-28 02:00:00,0.97,1.08,10.9
AZN.L,AZN,2023-04-27 02:00:00,0.82,0.96,17.57
AZN.L,AZN,2023-02-09 02:00:00,0.68,0.69,0.91
AZN.L,AZN,2022-11-10 02:00:00,0.75,0.84,11.9
AZN.L,AZN,2022-07-29 02:00:00,1.04,0.86,-17.32
AZN.L,AZN,2022-04-29 02:00:00,1.15,0.95,-17.65
AZN.L,AZN,2022-02-10 02:00:00,0.99,0.84,-15.58
AZN.L,AZN,2021-11-12 02:00:00,0.91,0.54,-40.88
AZN.L,AZN,2021-07-29 02:00:00,0.69,0.45,-34.38
AZN.L,AZN,2021-04-30 02:00:00,0.96,0.82,-15.29
AZN.L,AZN,2021-02-11 02:00:00,0.76,0.61,-20.03
AZN.L,AZN,2020-11-05 02:00:00,0.48,0.46,-3.79
AZN.L,AZN,2020-07-30 02:00:00,0.4,0.48,19.37
SAP.DE,SAP,2026-10-21 16:00:00,2.08,nan,nan
SAP.DE,SAP,2026-07-22 20:00:00,2.0,1.81,-9.8
SAP.DE,SAP,2026-04-23 16:00:00,1.92,2.01,4.99
SAP.DE,SAP,2026-01-29 00:00:00,1.72,1.93,12.07
SAP.DE,SAP,2025-10-22 16:00:00,1.74,1.85,6.05
SAP.DE,SAP,2025-07-22 16:00:00,1.69,1.76,4.28
SAP.DE,SAP,2025-04-21 20:00:00,1.44,1.65,15.01
SAP.DE,SAP,2025-01-28 00:00:00,1.49,1.47,-1.63
SAP.DE,SAP,2024-10-21 16:00:00,1.31,1.33,1.41
SAP.DE,SAP,2024-07-22 16:00:00,1.08,1.2,11.32
SAP.DE,SAP,2024-04-22 17:00:00,1.02,0.86,-15.53
SAP.DE,SAP,2024-01-23 17:00:00,1.74,1.53,-11.96
SAP.DE,SAP,2023-10-18 16:00:00,1.51,1.53,1.41
SAP.DE,SAP,2023-07-20 12:00:00,1.31,0.69,-47.06
SAP.DE,SAP,2023-04-21 01:00:00,1.16,1.18,1.91
SAP.DE,SAP,2023-01-26 01:00:00,1.5,1.09,-27.15
SAP.DE,SAP,2022-10-25 01:00:00,1.25,1.11,-11.41
SAP.DE,SAP,2022-07-21 00:00:00,1.07,0.98,-8.74
SAP.DE,SAP,2022-04-22 02:00:00,1.27,1.08,-15.38
SAP.DE,SAP,2022-01-27 01:00:00,1.91,2.1,9.96
SAP.DE,SAP,2021-10-12 19:00:00,1.57,2.01,27.71
SAP.DE,SAP,2021-07-21 01:00:00,1.47,2.06,40.29
SAP.DE,SAP,2021-04-22 01:00:00,1.17,1.68,44.19
SAP.DE,SAP,2021-01-29 01:00:00,1.88,2.05,8.91
SAP.DE,SAP,2020-10-25 15:00:00,1.49,2.01,34.91
ASML.AS,ASML,2026-10-14 08:00:00,10.58,nan,nan
ASML.AS,ASML,2026-07-13 20:00:00,6.9,7.58,9.93
ASML.AS,ASML,2026-04-14 20:00:00,6.62,7.15,7.99
ASML.AS,ASML,2026-01-27 19:00:00,7.55,7.34,-2.72
ASML.AS,ASML,2025-10-15 01:00:00,5.37,5.49,2.14
ASML.AS,ASML,2025-07-16 01:00:00,5.25,5.9,12.36
ASML.AS,ASML,2025-04-16 01:00:00,5.79,6.0,3.71
ASML.AS,ASML,2025-01-29 06:00:00,6.73,6.84,1.57
ASML.AS,ASML,2024-10-15 11:00:00,4.86,5.28,8.61
ASML.AS,ASML,2024-07-17 01:00:00,3.69,4.01,8.54
ASML.AS,ASML,2024-04-17 01:00:00,2.79,3.11,11.55
ASML.AS,ASML,2024-01-24 01:00:00,4.78,5.2,8.88
ASML.AS,ASML,2023-10-18 01:00:00,4.63,4.81,3.86
ASML.AS,ASML,2023-07-19 01:00:00,4.61,4.93,6.86
ASML.AS,ASML,2023-04-19 01:00:00,4.16,4.95,19.13
ASML.AS,ASML,2023-01-25 01:00:00,4.33,4.6,6.18
ASML.AS,ASML,2022-10-19 01:00:00,3.46,4.29,23.88
ASML.AS,ASML,2022-07-20 01:00:00,3.52,3.54,0.63
ASML.AS,ASML,2022-04-20 04:00:00,1.68,1.73,2.79
ASML.AS,ASML,2022-01-19 01:00:00,3.76,3.93,4.63
ASML.AS,ASML,2021-10-20 06:00:00,4.01,4.26,6.18
ASML.AS,ASML,2021-07-21 01:00:00,2.52,2.52,-0.05
ASML.AS,ASML,2021-04-21 06:00:00,2.61,3.2,22.63
ASML.AS,ASML,2021-01-20 01:00:00,2.46,3.23,31.43
ASML.AS,ASML,2020-10-14 01:00:00,2.26,2.53,11.93
7203.T,TM,2026-08-04 08:00:00,3.94,nan,nan
7203.T,TM,2026-05-08 00:00:00,2.69,4.0,49.05
7203.T,TM,2026-02-06 00:00:00,3.18,6.15,93.12
7203.T,TM,2025-11-05 00:00:00,5.36,4.66,-13.11
7203.T,TM,2025-08-06 21:00:00,5.48,4.38,-20.02
7203.T,TM,2014-02-03 22:00:00,2.46,3.27,32.81
7203.T,TM,2013-11-06 01:00:00,2.15,2.81,30.47
7203.T,TM,2013-08-09 19:00:00,2.59,3.69,42.37
7203.T,TM,2013-05-08 02:00:00,1.71,2.01,17.59
7203.T,TM,2013-02-05 01:00:00,1.32,0.68,-48.53
7203.T,TM,2012-11-05 01:00:00,1.66,2.03,22.12
7203.T,TM,2012-08-03 04:00:00,1.93,2.33,21.23
7203.T,TM,2012-05-09 06:00:00,0.88,0.96,9.16
7203.T,TM,2012-02-07 14:00:00,0.12,0.67,448.25
7203.T,TM,2011-11-07 19:00:00,0.66,0.66,-0.51
7203.T,TM,2011-08-02 02:00:00,-0.74,0.01,101.3
7203.T,TM,2011-05-11 02:00:00,0.41,0.2,-50.6
7203.T,TM,2011-02-08 01:00:00,0.6,0.73,21.57
7203.T,TM,2010-11-05 04:00:00,1.27,0.77,-39.09
7203.T,TM,2008-02-05 04:00:00,2.21,2.71,22.44
7203.T,TM,2007-11-07 01:00:00,2.22,2.48,11.53
7203.T,TM,2007-08-03 02:00:00,2.3,2.59,12.48
7203.T,TM,2007-05-09 02:00:00,2.13,1.15,-46.15
7203.T,TM,2007-02-06 01:00:00,1.95,2.22,13.59
7203.T,TM,2006-11-07 00:00:00,1.9,2.13,12.16
0700.HK,TCEHY,2026-08-12 08:00:00,7.81,nan,nan
0700.HK,TCEHY,2026-05-13 04:00:00,7.74,7.36,-4.86
0700.HK,TCEHY,2026-03-18 04:00:00,7.35,6.97,-5.17
0700.HK,TCEHY,2025-11-13 03:00:00,7.33,7.58,3.38
0700.HK,TCEHY,2025-08-13 04:00:00,6.67,6.79,1.8
0700.HK,TCEHY,2025-05-14 04:00:00,6.99,6.58,-5.88
0700.HK,TCEHY,2025-03-19 04:00:00,5.85,5.91,1.04
0700.HK,TCEHY,2024-11-13 03:00:00,6.33,6.34,0.11
0700.HK,TCEHY,2024-08-14 04:00:00,5.09,6.01,18.11
0700.HK,TCEHY,2024-05-14 04:00:00,4.58,5.26,14.99
0700.HK,TCEHY,2024-03-20 04:00:00,4.27,4.44,3.95
0700.HK,TCEHY,2023-11-15 03:00:00,4.12,4.66,13.14
0700.HK,TCEHY,2023-08-16 04:00:00,4.31,3.88,-10.01
0700.HK,TCEHY,2023-05-17 04:00:00,3.99,3.35,-16.03
0700.HK,TCEHY,2023-03-22 04:00:00,3.43,3.04,-11.18
0700.HK,TCEHY,2022-11-16 03:00:00,3.41,3.31,-2.91
0700.HK,TCEHY,2022-08-17 04:00:00,1.72,2.9,68.08
0700.HK,TCEHY,2022-05-18 05:00:00,2.31,2.62,13.67
0700.HK,TCEHY,2022-03-23 04:00:00,3.04,2.55,-16.11
0700.HK,TCEHY,2021-11-10 05:00:00,3.47,3.27,-5.79
0700.HK,TCEHY,2020-11-12 06:00:00,3.05,3.31,8.66
0700.HK,TCEHY,2020-08-12 05:00:00,2.72,3.13,15.07
0700.HK,TCEHY,2020-05-13 06:00:00,2.52,2.82,11.63
0700.HK,TCEHY,2020-03-18 05:00:00,2.57,2.64,2.78
0700.HK,TCEHY,2019-11-13 07:00:00,2.56,2.55,-0.62
BHP.AX,BHP,2026-08-17 16:00:00,nan,nan,nan
BHP.AX,BHP,2012-02-07 19:00:00,3.3,0.79,-76.06
BHP.AX,BHP,2004-08-18 00:00:00,0.43,0.24,-44.19
BHP.AX,BHP,2004-04-22 00:00:00,0.25,0.27,8.0
BHP.AX,BHP,2004-02-19 00:00:00,0.43,0.45,4.65
